Fips,Name,Temp,Rank,Past Mean,,,,,,
8005,Kiowa County,72,83,70.6,,,,,,
8007,Kit Carson County,71.9,107,68.3,,,,,,
8009,Lake County,53.4,124,48.5,,,,,,
8011,La Plata County,64.3,124,58.7,,,,,,
8013,Larimer County,61.2,122,56.1,,,,,,
8014,Las Animas County,69,99,66.8,,,,,,
8015,Lincoln County,70.2,108,66.6,,,,,,
8017,Logan County,71.2,111,67,,,,,,
8019,Mesa County,69.6,126,62.7,,,,,,
8021,Mineral County,54.5,122,49.8,,,,,,
8023,Moffat County,66.9,127,59.5,,,,,,
8025,Montezuma County,69.5,125,63.6,,,,,,
8027,Montrose County,69,125,62.4,,,,,,
8029,Morgan County,70.8,113,66.3,,,,,,
8031,Otero County,72.8,92,70.6,,,,,,
8033,Ouray County,61.2,125,54.7,,,,,,
8035,Park County,56.5,118,52.7,,,,,,
8037,Phillips County,72.1,113,67.6,,,,,,
8039,Pitkin County,57.5,126,51.9,,,,,,
8041,Prowers County,73.1,78,72.1,,,,,,
8043,Pueblo County,71.7,109,68.5,,,,,,
8045,Rio Blanco County,66.4,127,59.4,,,,,,
8047,Rio Grande County,58.7,122,54.1,,,,,,
8049,Routt County,60.9,127,54.4,,,,,,
8051,Saguache County,57.8,118,54.4,,,,,,
8053,San Juan County,53,126,46.5,,,,,,
8055,San Miguel County,65.1,126,58.5,,,,,,
8057,Sedgwick County,72.2,114,67.6,,,,,,
8059,Summit County,54.4,124,49.8,,,,,,
8061,Teller County,58,110,54.4,,,,,,
8063,Washington County,70.5,108,66.8,,,,,,
8065,Weld County,70.3,118,65.1,,,,,,
8067,Yuma County,72.5,111,68.3,,,,,,
8069,Fairfield County,70.9,126,66.5,,,,,,
8071,Hartford County,70.8,125,66.4,,,,,,
8073,Litchfield County,68.5,125,63.9,,,,,,
8075,Middlesex County,70,125,65.9,,,,,,
8077,New Haven County,70.4,126,66.1,,,,,,
8079,New London County,69.4,127,65.2,,,,,,
8081,Tolland County,69,125,65,,,,,,
8083,Windham County,68.8,126,64.8,,,,,,
8085,Kent County,74.5,122,70.7,,,,,,
8087,New Castle County,73.6,118,70.6,,,,,,
8089,Sussex County,75,123,70.8,,,,,,
8091,Alachua County,80.9,108,79.3,,,,,,
8093,Baker County,80,102,78.7,,,,,,
8095,Bay County,80.4,84,79.5,,,,,,
8097,Bradford County,80.5,107,79,,,,,,
